Dose,N,Mean,SD,SEM,Lower CI,Upper CI,CV,Median,Q1,Q3,Min,Max
0,4.0,6448.5,1680.44329468943,840.221647344715,3774.539722787955,9122.460277212045,0.2605944474977793,6901.0,5853.75,7495.75,4095.0,7897.0
900,4.0,2225.75,859.8458679709211,429.92293398546053,857.5433471810011,3593.956652818999,0.3863173617750965,2117.5,1555.0,2788.25,1432.0,3236.0
1200,4.0,626.75,650.5450919549442,325.2725459774721,-408.4124121564116,1661.9124121564116,1.0379658427681597,467.0,334.25,759.5,23.0,1550.0
